Known_ID,Date,Visitations
BHS_1736,2019-06-06,0
BHS_1738,2019-06-06,0
BHS_1739,2019-06-06,0
BHS_1740,2019-06-06,0
BHS_1737,2019-06-06,0
BHS_1736,2019-06-07,0
BHS_1738,2019-06-07,0
BHS_1739,2019-06-07,0
BHS_1740,2019-06-07,0
BHS_1737,2019-06-07,0
BHS_1736,2019-06-08,0
BHS_1737,2019-06-08,0
BHS_1738,2019-06-08,0
BHS_1739,2019-06-08,0
BHS_1740,2019-06-08,0
BHS_1736,2019-06-09,0
BHS_1737,2019-06-09,0
BHS_1738,2019-06-09,0
BHS_1739,2019-06-09,0
BHS_1740,2019-06-09,0
BHS_1736,2019-06-10,0
BHS_1737,2019-06-10,0
BHS_1738,2019-06-10,0
BHS_1739,2019-06-10,0
BHS_1740,2019-06-10,0
BHS_1736,2019-06-11,0
BHS_1737,2019-06-11,0
BHS_1738,2019-06-11,0
BHS_1739,2019-06-11,0
BHS_1740,2019-06-11,0
BHS_1736,2019-06-12,0
BHS_1737,2019-06-12,0
BHS_1738,2019-06-12,0
BHS_1739,2019-06-12,0
BHS_1740,2019-06-12,0
BHS_1736,2019-06-13,0
BHS_1737,2019-06-13,0
BHS_1738,2019-06-13,0
BHS_1739,2019-06-13,0
BHS_1740,2019-06-13,0
BHS_1736,2019-06-14,0
BHS_1737,2019-06-14,0
BHS_1738,2019-06-14,0
BHS_1739,2019-06-14,0
BHS_1740,2019-06-14,0
BHS_1736,2019-06-15,0
BHS_1737,2019-06-15,0
BHS_1738,2019-06-15,0
BHS_1739,2019-06-15,0
BHS_1740,2019-06-15,0
BHS_1736,2019-06-16,0
BHS_1737,2019-06-16,0
BHS_1738,2019-06-16,0
BHS_1739,2019-06-16,0
BHS_1740,2019-06-16,0
BHS_1736,2019-06-17,0
BHS_1737,2019-06-17,0
BHS_1738,2019-06-17,0
BHS_1739,2019-06-17,0
BHS_1740,2019-06-17,0
BHS_1736,2019-06-18,0
BHS_1737,2019-06-18,0
BHS_1738,2019-06-18,0
BHS_1739,2019-06-18,0
BHS_1740,2019-06-18,0
BHS_1736,2019-06-19,0
BHS_1737,2019-06-19,0
BHS_1738,2019-06-19,0
BHS_1739,2019-06-19,0
BHS_1740,2019-06-19,0
BHS_1736,2019-06-20,0
BHS_1737,2019-06-20,0
BHS_1738,2019-06-20,0
BHS_1739,2019-06-20,0
BHS_1740,2019-06-20,0
BHS_1736,2019-06-21,0
BHS_1737,2019-06-21,0
BHS_1738,2019-06-21,0
BHS_1739,2019-06-21,0
BHS_1740,2019-06-21,0
BHS_1736,2019-06-22,0
BHS_1737,2019-06-22,0
BHS_1738,2019-06-22,0
BHS_1739,2019-06-22,0
BHS_1740,2019-06-22,0
BHS_1736,2019-06-23,0
BHS_1737,2019-06-23,0
BHS_1738,2019-06-23,0
BHS_1739,2019-06-23,0
BHS_1740,2019-06-23,0
BHS_1736,2019-06-24,0
BHS_1737,2019-06-24,0
BHS_1738,2019-06-24,0
BHS_1739,2019-06-24,0
BHS_1740,2019-06-24,0
BHS_1736,2019-06-25,0
BHS_1737,2019-06-25,0
BHS_1738,2019-06-25,0
BHS_1739,2019-06-25,0
BHS_1740,2019-06-25,1
BHS_1736,2019-06-26,0
BHS_1737,2019-06-26,0
BHS_1738,2019-06-26,0
BHS_1739,2019-06-26,0
BHS_1740,2019-06-26,0
BHS_1736,2019-06-27,0
BHS_1737,2019-06-27,0
BHS_1738,2019-06-27,0
BHS_1739,2019-06-27,0
BHS_1740,2019-06-27,0
BHS_1736,2019-06-28,0
BHS_1737,2019-06-28,0
BHS_1738,2019-06-28,0
BHS_1739,2019-06-28,0
BHS_1740,2019-06-28,0
BHS_1736,2019-06-29,0
BHS_1737,2019-06-29,0
BHS_1738,2019-06-29,0
BHS_1739,2019-06-29,0
BHS_1740,2019-06-29,0
BHS_1736,2019-06-30,0
BHS_1737,2019-06-30,0
BHS_1738,2019-06-30,0
BHS_1739,2019-06-30,0
BHS_1740,2019-06-30,0
BHS_1736,2019-07-01,0
BHS_1737,2019-07-02,0
BHS_1738,2019-07-03,0
BHS_1739,2019-07-04,0
BHS_1740,2019-07-01,1
BHS_1736,2019-07-02,0
BHS_1737,2019-07-02,0
BHS_1738,2019-07-02,0
BHS_1739,2019-07-02,0
BHS_1740,2019-07-02,0
BHS_1736,2019-07-03,0
BHS_1737,2019-07-03,0
BHS_1738,2019-07-03,0
BHS_1739,2019-07-03,0
BHS_1740,2019-07-03,0
BHS_1736,2019-07-04,0
BHS_1737,2019-07-04,0
BHS_1738,2019-07-04,0
BHS_1739,2019-07-04,0
BHS_1740,2019-07-04,0
BHS_1736,2019-07-05,0
BHS_1737,2019-07-05,0
BHS_1738,2019-07-05,0
BHS_1739,2019-07-05,0
BHS_1740,2019-07-05,0
BHS_1736,2019-07-06,0
BHS_1737,2019-07-06,0
BHS_1738,2019-07-06,1
BHS_1739,2019-07-06,0
BHS_1740,2019-07-06,1
BHS_1736,2019-07-07,0
BHS_1737,2019-07-07,0
BHS_1738,2019-07-07,0
BHS_1739,2019-07-07,0
BHS_1740,2019-07-07,0
BHS_1736,2019-07-08,0
BHS_1737,2019-07-08,0
BHS_1738,2019-07-08,0
BHS_1739,2019-07-08,0
BHS_1740,2019-07-08,0
BHS_1736,2019-07-09,0
BHS_1737,2019-07-09,0
BHS_1738,2019-07-09,0
BHS_1739,2019-07-09,0
BHS_1740,2019-07-09,0
BHS_1736,2019-07-10,0
BHS_1737,2019-07-10,0
BHS_1738,2019-07-10,0
BHS_1739,2019-07-10,0
BHS_1740,2019-07-10,0
BHS_1736,2019-07-11,0
BHS_1737,2019-07-11,0
BHS_1738,2019-07-11,0
BHS_1739,2019-07-11,0
BHS_1740,2019-07-11,0
BHS_1736,2019-07-12,0
BHS_1737,2019-07-12,0
BHS_1738,2019-07-12,0
BHS_1739,2019-07-12,0
BHS_1740,2019-07-12,0
BHS_1736,2019-07-13,0
BHS_1737,2019-07-13,0
BHS_1738,2019-07-13,0
BHS_1739,2019-07-13,0
BHS_1740,2019-07-13,0
BHS_1736,2019-07-14,0
BHS_1737,2019-07-14,0
BHS_1738,2019-07-14,0
BHS_1739,2019-07-14,0
BHS_1740,2019-07-14,0
BHS_1736,2019-07-15,0
BHS_1737,2019-07-15,0
BHS_1738,2019-07-15,0
BHS_1739,2019-07-15,0
BHS_1740,2019-07-15,0
BHS_1736,2019-07-16,0
BHS_1737,2019-07-16,0
BHS_1738,2019-07-16,0
BHS_1739,2019-07-16,0
BHS_1740,2019-07-16,0
BHS_1736,2019-07-17,1
BHS_1737,2019-07-17,0
BHS_1738,2019-07-17,0
BHS_1739,2019-07-17,0
BHS_1740,2019-07-17,0
BHS_1736,2019-07-18,0
BHS_1737,2019-07-18,0
BHS_1738,2019-07-18,0
BHS_1739,2019-07-18,0
BHS_1740,2019-07-18,1
BHS_1736,2019-07-19,0
BHS_1737,2019-07-19,0
BHS_1738,2019-07-19,0
BHS_1739,2019-07-19,0
BHS_1740,2019-07-19,0
BHS_1736,2019-07-20,0
BHS_1737,2019-07-20,0
BHS_1738,2019-07-20,0
BHS_1739,2019-07-20,0
BHS_1740,2019-07-20,0
BHS_1736,2019-07-21,0
BHS_1737,2019-07-21,0
BHS_1738,2019-07-21,0
BHS_1739,2019-07-21,0
BHS_1740,2019-07-21,0
BHS_1736,2019-07-22,0
BHS_1737,2019-07-22,0
BHS_1738,2019-07-22,0
BHS_1739,2019-07-22,0
BHS_1740,2019-07-22,0
BHS_1736,2019-07-23,0
BHS_1737,2019-07-23,0
BHS_1738,2019-07-23,0
BHS_1739,2019-07-23,0
BHS_1740,2019-07-23,0
BHS_1736,2019-07-24,0
BHS_1737,2019-07-24,0
BHS_1738,2019-07-24,0
BHS_1739,2019-07-24,0
BHS_1740,2019-07-24,0
BHS_1736,2019-07-25,0
BHS_1737,2019-07-25,0
BHS_1738,2019-07-25,0
BHS_1739,2019-07-25,0
BHS_1740,2019-07-25,0
BHS_1736,2019-07-26,0
BHS_1737,2019-07-26,0
BHS_1738,2019-07-26,0
BHS_1739,2019-07-26,0
BHS_1740,2019-07-26,0
BHS_1736,2019-07-27,0
BHS_1737,2019-07-27,0
BHS_1738,2019-07-27,0
BHS_1739,2019-07-27,0
BHS_1740,2019-07-27,0
BHS_1736,2019-07-28,0
BHS_1737,2019-07-28,0
BHS_1738,2019-07-28,0
BHS_1739,2019-07-28,0
BHS_1740,2019-07-28,0
BHS_1736,2019-07-29,0
BHS_1737,2019-07-29,0
BHS_1738,2019-07-29,0
BHS_1739,2019-07-29,0
BHS_1740,2019-07-29,0
BHS_1736,2019-07-30,0
BHS_1737,2019-07-30,0
BHS_1738,2019-07-30,0
BHS_1739,2019-07-30,0
BHS_1740,2019-07-30,0
BHS_1736,2019-07-31,0
BHS_1737,2019-07-31,0
BHS_1738,2019-07-31,0
BHS_1739,2019-07-31,0
BHS_1740,2019-07-31,0
BHS_1736,2019-08-01,1
BHS_1737,2019-08-01,0
BHS_1738,2019-08-01,1
BHS_1739,2019-08-01,0
BHS_1740,2019-08-01,1
BHS_1736,2019-08-02,1
BHS_1737,2019-08-02,0
BHS_1738,2019-08-02,0
BHS_1739,2019-08-02,1
BHS_1740,2019-08-02,1
BHS_1736,2019-08-03,0
BHS_1737,2019-08-03,0
BHS_1738,2019-08-03,0
BHS_1739,2019-08-03,0
BHS_1740,2019-08-03,1
BHS_1736,2019-08-04,0
BHS_1737,2019-08-04,0
BHS_1738,2019-08-04,1
BHS_1739,2019-08-04,2
BHS_1740,2019-08-04,2
BHS_1736,2019-08-05,1
BHS_1737,2019-08-05,0
BHS_1738,2019-08-05,0
BHS_1739,2019-08-05,1
BHS_1740,2019-08-05,0
BHS_1736,2019-08-06,1
BHS_1737,2019-08-06,0
BHS_1738,2019-08-06,0
BHS_1739,2019-08-06,1
BHS_1740,2019-08-06,1
BHS_1736,2019-08-07,0
BHS_1737,2019-08-07,0
BHS_1738,2019-08-07,1
BHS_1739,2019-08-07,0
BHS_1740,2019-08-07,1
